Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
11-Dec-23,EQ,79.20,82.80,78.85,78.80,79.80,79.95,80.82,82.80,30.95,27422511.00,2216191441.55,64370.00
08-Dec-23,EQ,81.50,82.60,77.40,81.10,79.00,78.80,80.05,82.60,30.95,26904594.00,2153735696.65,65154.00
07-Dec-23,EQ,78.45,81.45,76.65,78.05,80.80,81.10,79.96,81.45,30.95,42103048.00,3366715964.55,74007.00
06-Dec-23,EQ,77.60,78.80,77.20,77.10,78.00,78.05,77.99,79.50,30.95,16169829.00,1261104808.85,35658.00
05-Dec-23,EQ,78.50,78.65,75.90,78.60,77.10,77.10,77.43,79.50,30.95,22701429.00,1757752836.40,52918.00
04-Dec-23,EQ,77.00,79.50,76.40,74.65,78.60,78.60,78.14,79.50,30.95,49453119.00,3864354132.60,91656.00
01-Dec-23,EQ,77.00,78.00,74.30,76.10,74.75,74.65,75.96,78.00,30.95,43296875.00,3288650124.75,77656.00
30-Nov-23,EQ,70.30,76.50,70.10,70.00,76.15,76.10,73.95,76.50,30.95,108216222.00,8002772163.75,168096.00
29-Nov-23,EQ,68.50,70.55,68.45,68.00,69.70,70.00,69.61,74.35,30.95,42265882.00,2942046607.65,74157.00
28-Nov-23,EQ,64.50,68.40,63.80,64.25,67.85,68.00,66.89,74.35,30.95,32899699.00,2200735618.60,64122.00
24-Nov-23,EQ,65.10,65.55,64.05,65.10,64.25,64.25,64.67,74.35,30.95,8554234.00,553229399.15,19711.00
23-Nov-23,EQ,66.10,66.55,64.90,65.95,64.95,65.10,65.74,74.35,30.95,6948472.00,456790421.85,15500.00
22-Nov-23,EQ,67.55,67.60,65.80,67.30,65.95,65.95,66.39,74.35,30.95,8529552.00,566297674.05,19200.00
21-Nov-23,EQ,67.65,68.40,66.60,67.35,67.20,67.30,67.41,74.35,30.95,14237220.00,959782897.35,21961.00
20-Nov-23,EQ,67.45,68.85,67.00,67.05,67.25,67.35,67.72,74.35,30.95,9809973.00,664336127.45,24708.00
17-Nov-23,EQ,67.20,67.95,66.40,67.25,66.90,67.05,67.10,74.35,30.95,10359123.00,695061503.40,20640.00
16-Nov-23,EQ,68.40,68.40,67.05,68.15,67.20,67.25,67.74,74.35,30.95,9883744.00,669492821.70,21230.00
15-Nov-23,EQ,69.00,69.40,67.90,68.15,68.05,68.15,68.42,74.35,30.95,9503528.00,650210481.05,19760.00
13-Nov-23,EQ,66.90,70.35,66.30,67.15,68.40,68.15,68.86,74.35,30.95,30300465.00,2086537516.90,57681.00
12-Nov-23,EQ,66.40,67.45,66.20,65.75,67.35,67.15,66.98,74.35,30.95,4636451.00,310556862.40,20501.00
10-Nov-23,EQ,66.05,66.45,64.65,67.00,65.70,65.75,65.57,74.35,30.95,17890122.00,1173070657.05,35370.00
09-Nov-23,EQ,68.40,68.50,66.40,68.25,66.70,67.00,67.51,74.35,30.95,11765703.00,794298117.35,24208.00
08-Nov-23,EQ,68.35,68.90,67.60,68.05,68.20,68.25,68.27,74.35,30.95,13266819.00,905674332.70,29611.00
07-Nov-23,EQ,67.55,68.85,66.60,67.45,67.85,68.05,67.67,74.35,30.95,19756138.00,1336824587.10,32153.00
06-Nov-23,EQ,67.65,68.10,67.00,67.00,67.55,67.45,67.50,74.35,30.95,12056333.00,813837590.85,23738.00
03-Nov-23,EQ,68.40,68.40,66.80,67.35,67.10,67.00,67.75,74.35,30.95,17675248.00,1197469669.55,32886.00
02-Nov-23,EQ,66.90,68.35,65.95,65.95,67.40,67.35,67.10,74.35,30.95,19362467.00,1299139015.70,35954.00
01-Nov-23,EQ,66.00,67.65,65.60,65.60,65.80,65.95,66.64,74.35,30.95,23932165.00,1594742445.30,48714.00
31-Oct-23,EQ,67.45,67.65,65.25,67.10,66.10,65.60,66.26,74.35,30.95,26461903.00,1753370488.20,39950.00
30-Oct-23,EQ,64.50,68.45,63.15,64.25,67.20,67.10,65.95,74.35,30.95,55216321.00,3641247334.75,73827.00
27-Oct-23,EQ,64.50,65.60,63.50,63.80,64.30,64.25,64.50,74.35,30.95,32446451.00,2092649037.50,53038.00
